"","StudentNumber","Gender","Grade","Ethnicity","SchoolName","Lunch","Special.Education","Inf..Date","Infraction","Adminstrative.Action","COUNT"
"1686","S10629","M",8,"Hispanic","Clark Middle School","Reduced Lunch","","11/11/2015","Failure Refused Detention","ISS-2 Day ICBM",407
"1687","S10754","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","8/21/2015","Classroom Disruption","Administrative Conference",1230
"1688","S10905","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","8/28/2015","Misbehavior","SEI Consultation",573
"1689","S11467","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","9/8/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1690","S10755","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","9/17/2015","Rule Violation","Administrative Conference",1230
"1691","S10858","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","9/18/2015","Excessive Tardiness","Friday School",317
"1692","S10759","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","9/18/2015","Rule Violation","Administrative Conference",1230
"1693","S1228075","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","9/23/2015","Misbehavior","Lunch Restriction",926
"1694","S10433","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","10/5/2015","Misbehavior","Class Suspension",1164
"1695","S11471","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","10/16/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1696","S10646","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","10/21/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"1697","S11472","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","11/2/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1698","S1228078","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","11/3/2015","Excessive Tardiness","Lunch Restriction",926
"1699","S10860","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","11/16/2015","Classroom Disruption","Friday School",317
"1700","S1228081","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","11/20/2015","Misbehavior","Lunch Restriction",926
"1701","S11482","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","11/23/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1702","S1063","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","12/11/2015","Refused Class Work","ISS-2 Day ICBM",407
"1703","S10630","M",8,"Hispanic","Clark Middle School","Paid","Other Health Impairment (17)","12/14/2015","Failure Refused Detention","ISS-2 Day ICBM",407
"1704","S10907","F",7,"Hispanic","Clark Middle School","Free Lunch","","8/27/2015","Excessive Tardiness","SEI Consultation",573
"1705","S10881","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/2/2015","Excessive Tardiness","Friday School",317
"1706","S10909","F",8,"Hispanic","Clark Middle School","Free Lunch","","9/4/2015","Excessive Tardiness","SEI Consultation",573
"1707","S10884","F",8,"Hispanic","Clark Middle School","Free Lunch","","11/10/2015","Excessive Tardiness","Friday School",317
"1708","S11490","M",7,"Hispanic","Clark Middle School","Paid","","9/15/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1709","S10689","M",8,"Hispanic","Clark Middle School","Free Lunch","","11/16/2015","Classroom Disruption","Work Detail",205
"1710","S1228082","M",7,"Hispanic","Clark Middle School","Free Lunch","","12/14/2015","Misbehavior","Lunch Restriction",926
"1711","S1228085","M",7,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","9/2/2015","Failure Refused Detention","Lunch Restriction",926
"1712","S1228088","M",7,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","9/8/2015","Failure Refused Detention","Lunch Restriction",926
"1713","S1228095","M",7,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","10/6/2015","Failure Refused Detention","Lunch Restriction",926
"1714","S10886","M",7,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","10/20/2015","Misbehavior","Friday School",317
"1715","S10634","M",7,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","10/26/2015","Failure To Report","ISS-2 Day ICBM",407
"1716","S1228096","M",7,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","11/16/2015","Failure Refused Detention","Lunch Restriction",926
"1717","S11492","M",7,"White","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","9/17/2015","Misbehavior","ISS-1 Day ICBM",1807
"1718","S1228104","M",7,"White","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","9/25/2015","Classroom Disruption","Lunch Restriction",926
"1719","S10695","M",7,"White","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","10/28/2015","Classroom Disruption","Work Detail",205
"1720","S10641","M",7,"White","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","11/4/2015","Failure Refused Detention","ISS-2 Day ICBM",407
"1721","S10699","M",7,"White","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","11/30/2015","Classroom Disruption","Work Detail",205
"1722","S10917","M",6,"Black","Clark Middle School","Free Lunch","","9/10/2015","Excessive Tardiness","SEI Consultation",573
"1723","S10762","M",6,"Black","Clark Middle School","Free Lunch","","9/14/2015","Other","Administrative Conference",1230
"1724","S10703","M",6,"Black","Clark Middle School","Free Lunch","","10/8/2015","Misbehavior","Work Detail",205
"1725","S10893","M",6,"Black","Clark Middle School","Free Lunch","","10/14/2015","Misbehavior","Friday School",317
"1726","S1228106","M",6,"Black","Clark Middle School","Free Lunch","","10/19/2015","Failure Refused Detention","Lunch Restriction",926
"1727","S1228109","M",6,"Black","Clark Middle School","Free Lunch","","10/23/2015","Safety Infraction","Lunch Restriction",926
"1728","S10895","M",6,"Black","Clark Middle School","Free Lunch","","11/2/2015","Classroom Disruption","Friday School",317
"1729","S10899","M",6,"Black","Clark Middle School","Free Lunch","","11/3/2015","Excessive Tardiness","Friday School",317
"1730","S11500","M",6,"Black","Clark Middle School","Free Lunch","","11/11/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1731","S11506","M",6,"Black","Clark Middle School","Free Lunch","","11/18/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1732","S10649","M",6,"Black","Clark Middle School","Free Lunch","","11/20/2015","Misbehavior","OSS-One Day Out of School Suspension",693
"1733","S1228112","M",6,"Black","Clark Middle School","Free Lunch","","12/7/2015","Excessive Tardiness","Lunch Restriction",926
"1734","S1228113","M",6,"Black","Clark Middle School","Free Lunch","","12/9/2015","Theft School/Private Property","Lunch Restriction",926
"1735","S10645","M",6,"Black","Clark Middle School","Free Lunch","","12/16/2015","Refused Class Work","ISS-2 Day ICBM",407
"1736","S10765","F",7,"Hispanic","Clark Middle School","Free Lunch","","8/17/2015","Other","Administrative Conference",1230
"1737","S11513","F",7,"Hispanic","Clark Middle School","Free Lunch","","9/30/2015","Insubordination","ISS-1 Day ICBM",1807
"1738","S10900","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/3/2015","Excessive Tardiness","Friday School",317
"1739","S1228125","M",7,"White","Clark Middle School","Free Lunch","","11/9/2015","Failure Refused Detention","Lunch Restriction",926
"1740","S10780","M",7,"White","Clark Middle School","Free Lunch","","11/24/2015","Excessive Absences","Administrative Conference",1230
"1741","S1038","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/12/2015","Bullying - Written Communication/Electronic","OSS-Five Days Out of School Suspension",176
"1742","S10218","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/12/2015","Other","Peer Mediation",52
"1743","S1228127","M",7,"White","Clark Middle School","Free Lunch","","11/6/2015","Classroom Disruption","Lunch Restriction",926
"1744","S10903","M",7,"White","Clark Middle School","Free Lunch","","11/12/2015","Misbehavior","Friday School",317
"1745","S11520","M",7,"White","Clark Middle School","Free Lunch","","12/1/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1746","S10790","F",8,"Hispanic","Clark Middle School","Free Lunch","","9/17/2015","Cheating","Administrative Conference",1230
"1747","S1228133","M",7,"White","Clark Middle School","Reduced Lunch","","8/17/2015","Misbehavior","Lunch Restriction",926
"1748","S10924","M",7,"White","Clark Middle School","Reduced Lunch","","9/2/2015","Excessive Tardiness","SEI Consultation",573
"1749","S11521","M",7,"White","Clark Middle School","Reduced Lunch","","9/15/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1750","S1228137","M",7,"White","Clark Middle School","Reduced Lunch","","10/1/2015","Failure Refused Detention","Lunch Restriction",926
"1751","S1228138","M",7,"White","Clark Middle School","Reduced Lunch","","10/1/2015","Misbehavior","Lunch Restriction",926
"1752","S10905","M",7,"White","Clark Middle School","Reduced Lunch","","10/14/2015","Misbehavior","Friday School",317
"1753","S10651","M",7,"White","Clark Middle School","Reduced Lunch","","10/19/2015","Safety Infraction","OSS-One Day Out of School Suspension",693
"1754","S11524","M",7,"White","Clark Middle School","Reduced Lunch","","11/4/2015","Misbehavior","ISS-1 Day ICBM",1807
"1755","S10797","M",7,"White","Clark Middle School","Reduced Lunch","","11/17/2015","Truancy","Administrative Conference",1230
"1756","S1228139","M",7,"White","Clark Middle School","Reduced Lunch","","12/2/2015","Failure Refused Detention","Lunch Restriction",926
"1757","S10646","M",7,"White","Clark Middle School","Reduced Lunch","","12/7/2015","Failure Refused Detention","ISS-2 Day ICBM",407
"1758","S10709","M",7,"White","Clark Middle School","Reduced Lunch","","12/10/2015","Insubordination","Work Detail",205
"1759","S11529","M",7,"White","Clark Middle School","Reduced Lunch","","12/14/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1760","S1228143","M",8,"Hispanic","Clark Middle School","Free Lunch","","9/29/2015","Excessive Tardiness","Lunch Restriction",926
"1761","S1228144","F",8,"Hispanic","Clark Middle School","Free Lunch","","10/1/2015","Failure Refused Detention","Lunch Restriction",926
"1762","S1228145","F",7,"Hispanic","Clark Middle School","Paid","Mild Cognitive Disability (10)","9/28/2015","Failure To Report","Lunch Restriction",926
"1763","S10938","M",7,"Black","Clark Middle School","Free Lunch","","8/27/2015","Excessive Tardiness","SEI Consultation",573
"1764","S1228146","M",7,"Black","Clark Middle School","Free Lunch","","9/4/2015","Misbehavior","Lunch Restriction",926
"1765","S1228147","M",7,"Black","Clark Middle School","Free Lunch","","9/16/2015","Excessive Tardiness","Lunch Restriction",926
"1766","S11536","M",7,"Black","Clark Middle School","Free Lunch","","9/21/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"1767","S10657","M",7,"Black","Clark Middle School","Free Lunch","","9/22/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"1768","S10661","M",7,"Black","Clark Middle School","Free Lunch","","9/25/2015","Excessive Tardiness","OSS-One Day Out of School Suspension",693
"1769","S10233","M",7,"Black","Clark Middle School","Free Lunch","","9/29/2015","Bullying - Verbal","Peer Mediation",52
"1770","S10662","M",7,"Black","Clark Middle School","Free Lunch","","10/16/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"1771","S10459","M",7,"Black","Clark Middle School","Free Lunch","","10/20/2015","Classroom Disruption","OSS-Three Days Out of School Suspension",258
"1772","S1071","M",7,"Black","Clark Middle School","Free Lunch","","11/4/2015","Inappropriate Language","Work Detail",205
"1773","S10388","M",7,"Black","Clark Middle School","Free Lunch","","11/6/2015","Physical Assault/Battery-Studn","OSS-Five Days Out of School Suspension",176
"1774","S10907","M",7,"Black","Clark Middle School","Free Lunch","","11/18/2015","Excessive Absences","Friday School",317
"1775","S11540","M",7,"Black","Clark Middle School","Free Lunch","","11/19/2015","Misbehavior","ISS-1 Day ICBM",1807
"1776","S10909","M",7,"Black","Clark Middle School","Free Lunch","","12/7/2015","Excessive Tardiness","Friday School",317
"1777","S10158","M",7,"Black","Clark Middle School","Free Lunch","","12/7/2015","Misbehavior","ISS-3 Day ICBM",36
"1778","S11543","M",7,"Black","Clark Middle School","Free Lunch","","12/14/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1779","S1228149","F",7,"Hispanic","Clark Middle School","Free Lunch","Specific Learning Disability (07)","12/3/2015","Excessive Tardiness","Lunch Restriction",926
"1780","S11554","M",8,"Hispanic","Clark Middle School","Free Lunch","","9/8/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"1781","S10955","M",8,"Hispanic","Clark Middle School","Free Lunch","","9/10/2015","Excessive Tardiness","SEI Consultation",573
"1782","S10917","M",8,"Hispanic","Clark Middle School","Free Lunch","","11/2/2015","Excessive Tardiness","Friday School",317
"1783","S1228155","M",8,"Hispanic","Clark Middle School","Free Lunch","","11/18/2015","Misbehavior","Lunch Restriction",926
"1784","S1228156","M",7,"Hispanic","Clark Middle School","Paid","","10/1/2015","Misbehavior","Lunch Restriction",926
"1785","S1228165","M",7,"Hispanic","Clark Middle School","Paid","","11/6/2015","Classroom Disruption","Lunch Restriction",926
"1786","S10924","M",7,"Hispanic","Clark Middle School","Paid","","11/13/2015","Cell Phone","Friday School",317
"1787","S11564","M",7,"Hispanic","Clark Middle School","Paid","","12/14/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1788","S1228170","F",7,"Hispanic","Clark Middle School","Reduced Lunch","Language or Speech Impairment (09)","9/9/2015","Inappropriate Language","Lunch Restriction",926
"1789","S1228172","M",6,"Hispanic","Clark Middle School","Reduced Lunch","","9/15/2015","Insubordination","Lunch Restriction",926
"1790","S1228173","F",6,"Hispanic","Clark Middle School","Reduced Lunch","","9/18/2015","Misbehavior","Lunch Restriction",926
"1791","S1228174","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/2/2015","Misbehavior","Lunch Restriction",926
"1792","S10962","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/22/2015","Misbehavior","SEI Consultation",573
"1793","S10973","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/5/2015","Other","SEI Consultation",573
"1794","S10649","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/17/2015","Disruption-School Process","ISS-2 Day ICBM",407
"1795","S10713","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/3/2015","Misbehavior","Work Detail",205
"1796","S11565","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/11/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1797","S10938","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/16/2015","Misbehavior","Friday School",317
"1798","S1157","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/20/2015","Misbehavior","ISS-1 Day ICBM",1807
"1799","S11589","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/23/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1800","S10651","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/17/2015","Classroom Disruption","ISS-2 Day ICBM",407
"1801","S1228176","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/2/2015","Misbehavior","Lunch Restriction",926
"1802","S1228178","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/15/2015","Misbehavior","Lunch Restriction",926
"1803","S10236","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/24/2015","Bullying - Verbal","Peer Mediation",52
"1804","S1228179","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/22/2015","Classroom Disruption","Lunch Restriction",926
"1805","S1024","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/24/2015","Bullying - Verbal","Peer Mediation",52
"1806","S1228180","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/29/2015","Misbehavior","Lunch Restriction",926
"1807","S10714","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/16/2015","Misbehavior","Work Detail",205
"1808","S1228184","F",6,"Hispanic","Clark Middle School","Paid","","9/30/2015","Excessive Tardiness","Lunch Restriction",926
"1809","S1228190","F",6,"Hispanic","Clark Middle School","Paid","","11/10/2015","Excessive Tardiness","Lunch Restriction",926
"1810","S1228194","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/15/2015","Misbehavior","Lunch Restriction",926
"1811","S10955","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/14/2015","Excessive Absences","Friday School",317
"1812","S10657","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/12/2015","Bullying - Written Communication/Electronic","ISS-2 Day ICBM",407
"1813","S1228195","F",6,"Hispanic","Clark Middle School","Free Lunch","","10/2/2015","Insubordination","Lunch Restriction",926
"1814","S10243","F",6,"Hispanic","Clark Middle School","Free Lunch","","11/4/2015","Other","Peer Mediation",52
"1815","S10715","F",7,"Hispanic","Clark Middle School","Reduced Lunch","","10/21/2015","Misbehavior","Work Detail",205
"1816","S11607","M",7,"White","Clark Middle School","Free Lunch","","9/17/2015","Misbehavior","ISS-1 Day ICBM",1807
"1817","S11608","M",7,"White","Clark Middle School","Free Lunch","","9/25/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"1818","S10798","M",7,"White","Clark Middle School","Free Lunch","","9/30/2015","Rule Violation","Administrative Conference",1230
"1819","S1228197","M",7,"White","Clark Middle School","Free Lunch","","11/3/2015","Excessive Tardiness","Lunch Restriction",926
"1820","S1228204","M",7,"White","Clark Middle School","Free Lunch","","11/4/2015","Failure Refused Detention","Lunch Restriction",926
"1821","S11609","M",7,"White","Clark Middle School","Free Lunch","","11/4/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1822","S1161","M",7,"White","Clark Middle School","Free Lunch","","11/12/2015","Misbehavior","ISS-1 Day ICBM",1807
"1823","S1228216","M",7,"White","Clark Middle School","Free Lunch","","11/18/2015","Excessive Tardiness","Lunch Restriction",926
"1824","S1162","M",7,"White","Clark Middle School","Free Lunch","","11/19/2015","Failure To Report","ISS-1 Day ICBM",1807
"1825","S11622","M",7,"White","Clark Middle School","Free Lunch","","11/30/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1826","S10808","M",7,"White","Clark Middle School","Free Lunch","","12/15/2015","3 Tardies In 5 Days","Administrative Conference",1230
"1827","S10717","M",7,"White","Clark Middle School","Free Lunch","","12/17/2015","Classroom Disruption","Work Detail",205
"1828","S10962","M",7,"White","Clark Middle School","Free Lunch","","12/17/2015","Inappropriate Language","Friday School",317
"1829","S10976","M",7,"White","Clark Middle School","Free Lunch","","9/10/2015","Excessive Tardiness","SEI Consultation",573
"1830","S10973","M",7,"White","Clark Middle School","Free Lunch","","11/2/2015","Excessive Tardiness","Friday School",317
"1831","S10720","M",7,"White","Clark Middle School","Free Lunch","","11/2/2015","Misbehavior","Work Detail",205
"1832","S10983","F",6,"Hispanic","Clark Middle School","Free Lunch","","9/3/2015","Misbehavior","SEI Consultation",573
"1833","S10984","M",6,"White","Clark Middle School","Free Lunch","","9/10/2015","Excessive Tardiness","SEI Consultation",573
"1834","S11000","F",6,"Hispanic","Clark Middle School","Free Lunch","","9/3/2015","Misbehavior","SEI Consultation",573
"1835","S1026","F",7,"Hispanic","Clark Middle School","Paid","","11/12/2015","Other","Peer Mediation",52
"1836","S1228218","M",6,"Hispanic","Clark Middle School","Free Lunch","","8/14/2015","Classroom Disruption","Lunch Restriction",926
"1837","S1228220","M",6,"Hispanic","Clark Middle School","Free Lunch","","8/20/2015","Classroom Disruption","Lunch Restriction",926
"1838","S11632","M",6,"Hispanic","Clark Middle School","Free Lunch","","8/31/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1839","S10661","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/1/2015","Classroom Disruption","ISS-2 Day ICBM",407
"1840","S1228227","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/8/2015","Misbehavior","Lunch Restriction",926
"1841","S1228228","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/23/2015","Misbehavior","Lunch Restriction",926
"1842","S10676","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/14/2015","Classroom Disruption","OSS-One Day Out of School Suspension",693
"1843","S10829","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/19/2015","Misbehavior","Administrative Conference",1230
"1844","S10677","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/27/2015","Insubordination","OSS-One Day Out of School Suspension",693
"1845","S10399","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/10/2015","Insubordination","OSS-Five Days Out of School Suspension",176
"1846","S10976","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/9/2015","Rule Violation","Friday School",317
"1847","S1041","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/16/2015","Misbehavior","OSS-Two Days Out of School Suspension",290
"1848","S1228229","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/16/2015","Rule Violation","Lunch Restriction",926
"1849","S1228231","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/15/2015","Insubordination","Lunch Restriction",926
"1850","S11644","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/20/2015","Misbehavior","ISS-1 Day ICBM",1807
"1851","S11004","F",7,"White","Clark Middle School","Paid","","9/14/2015","Excessive Tardiness","SEI Consultation",573
"1852","S11653","F",7,"White","Clark Middle School","Paid","","12/11/2015","Misbehavior","ISS-1 Day ICBM",1807
"1853","S1029","F",7,"White","Clark Middle School","Paid","","12/15/2015","Other","Peer Mediation",52
"1854","S10983","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/10/2015","Excessive Tardiness","Friday School",317
"1855","S10108","M",8,"Hispanic","Clark Middle School","Free Lunch","","8/14/2015","Insubordination","Ripple Effects Module",77
"1856","S10831","M",8,"Hispanic","Clark Middle School","Free Lunch","","9/1/2015","Classroom Disruption","Administrative Conference",1230
"1857","S1228233","M",8,"Hispanic","Clark Middle School","Free Lunch","","9/4/2015","Cheating","Lunch Restriction",926
"1858","S1228235","M",8,"Hispanic","Clark Middle School","Free Lunch","","10/14/2015","Classroom Disruption","Lunch Restriction",926
"1859","S10984","M",8,"Hispanic","Clark Middle School","Free Lunch","","10/16/2015","Failure Refused Detention","Friday School",317
"1860","S11654","M",8,"Hispanic","Clark Middle School","Free Lunch","","10/26/2015","Failure To Report","ISS-1 Day ICBM",1807
"1861","S10678","M",8,"Hispanic","Clark Middle School","Free Lunch","","11/13/2015","Insubordination","OSS-One Day Out of School Suspension",693
"1862","S10191","M",8,"Hispanic","Clark Middle School","Free Lunch","","11/17/2015","Fighting","OSS-Out Of School Suspension",327
"1863","S1228237","F",7,"Hispanic","Clark Middle School","Free Lunch","","11/3/2015","Excessive Tardiness","Lunch Restriction",926
"1864","S10721","F",6,"Hispanic","Clark Middle School","Free Lunch","Specific Learning Disability (07)","10/1/2015","Misbehavior","Work Detail",205
"1865","S11009","M",7,"Black","Clark Middle School","Free Lunch","Specific Learning Disability (07)","9/3/2015","Excessive Tardiness","SEI Consultation",573
"1866","S1228239","M",7,"Black","Clark Middle School","Free Lunch","Specific Learning Disability (07)","11/5/2015","Excessive Tardiness","Lunch Restriction",926
"1867","S10302","M",8,"Hispanic","Clark Middle School","Free Lunch","Language or Speech Impairment (09)","9/24/2015","Bullying - Verbal","Peer Mediation",52
"1868","S1228240","F",6,"Hispanic","Clark Middle School","Free Lunch","","9/18/2015","Misbehavior","Lunch Restriction",926
"1869","S1228245","M",6,"Hispanic","Clark Middle School","Free Lunch","","8/20/2015","Misbehavior","Lunch Restriction",926
"1870","S10726","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/3/2015","Misbehavior","Work Detail",205
"1871","S11663","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/8/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1872","S1084","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/14/2015","No Book Or Materials","Administrative Conference",1230
"1873","S1228247","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/15/2015","Misbehavior","Lunch Restriction",926
"1874","S11016","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/17/2015","Other","SEI Consultation",573
"1875","S10461","M",6,"Hispanic","Clark Middle School","Free Lunch","","9/23/2015","Fighting","OSS-Three Days Out of School Suspension",258
"1876","S10680","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/2/2015","Misbehavior","OSS-One Day Out of School Suspension",693
"1877","S11708","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/9/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1878","S11033","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/15/2015","Other","SEI Consultation",573
"1879","S10476","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/3/2015","Insubordination","OSS-Three Days Out of School Suspension",258
"1880","S11709","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/11/2015","Classroom Disruption","ISS-1 Day ICBM",1807
"1881","S11733","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/16/2015","Cell Phone","ISS-1 Day ICBM",1807
"1882","S11000","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/16/2015","Misbehavior","Friday School",317
"1883","S1175","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/23/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"1884","S1228248","M",6,"Hispanic","Clark Middle School","Free Lunch","","12/18/2015","Classroom Disruption","Lunch Restriction",926
"1885","S1228249","M",6,"Hispanic","Clark Middle School","Free Lunch","","10/7/2015","Excessive Tardiness","Lunch Restriction",926
"1886","S11040","M",6,"Hispanic","Clark Middle School","Free Lunch","","11/18/2015","Excessive Absences","SEI Consultation",573
"1887","S10121","F",7,"Hispanic","Clark Middle School","Paid","","8/14/2015","Bullying - Verbal","Ripple Effects Module",77
"1888","S1228251","F",7,"Hispanic","Clark Middle School","Paid","","8/25/2015","Misbehavior","Lunch Restriction",926
"1889","S10729","F",7,"Hispanic","Clark Middle School","Paid","","8/26/2015","Rule Violation","Work Detail",205
"1890","S1228255","F",7,"Hispanic","Clark Middle School","Paid","","9/2/2015","Failure Refused Detention","Lunch Restriction",926
"1891","S11046","F",7,"Hispanic","Clark Middle School","Paid","","9/10/2015","Disruption-School Process","SEI Consultation",573
"1892","S1228261","F",7,"Hispanic","Clark Middle School","Paid","","9/17/2015","Failure Refused Detention","Lunch Restriction",926
"1893","S11764","F",7,"Hispanic","Clark Middle School","Paid","","10/1/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"1894","S1228263","F",7,"Hispanic","Clark Middle School","Paid","","10/6/2015","Failure Refused Detention","Lunch Restriction",926
"1895","S11004","F",7,"Hispanic","Clark Middle School","Paid","","10/20/2015","Misbehavior","Friday School",317
"1896","S1041","F",7,"Hispanic","Clark Middle School","Paid","","11/6/2015","Leaving Without Permission","OSS-Five Days Out of School Suspension",176
"1897","S1228264","F",7,"Hispanic","Clark Middle School","Paid","","11/23/2015","Excessive Tardiness","Lunch Restriction",926
"1898","S11783","F",7,"Hispanic","Clark Middle School","Paid","","11/24/2015","Insubordination","ISS-1 Day ICBM",1807
"1899","S11798","F",7,"Hispanic","Clark Middle School","Paid","","11/30/2015","Insubordination","ISS-1 Day ICBM",1807
"1900","S10482","F",7,"Hispanic","Clark Middle School","Paid","","12/3/2015","Fighting","OSS-Three Days Out of School Suspension",258
"1901","S11801","F",7,"Hispanic","Clark Middle School","Paid","","12/14/2015","Misbehavior","ISS-1 Day ICBM",1807
"1902","S10848","F",7,"Hispanic","Clark Middle School","Paid","","12/15/2015","Misbehavior","Administrative Conference",1230
"1903","S1105","F",7,"White","Clark Middle School","Free Lunch","","9/3/2015","Excessive Tardiness","SEI Consultation",573
"1904","S11821","F",7,"White","Clark Middle School","Free Lunch","","9/21/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"1905","S1228267","F",7,"White","Clark Middle School","Free Lunch","","10/7/2015","Excessive Tardiness","Lunch Restriction",926
"1906","S10662","F",7,"White","Clark Middle School","Free Lunch","","11/5/2015","Excessive Tardiness","ISS-2 Day ICBM",407
