StudentNumber,Gender,Grade,Ethnicity,SchoolName,Lunch,Special Education,Inf. Date,Infraction,Adminstrative Action
S1235700,F,8,Hispanic,Clark Middle School,Free Lunch,,11/20/2015,Other,Peer Mediation
S1235708,F,8,White,Clark Middle School,Free Lunch,,10/27/2015,Other,Peer Mediation
S1235708,F,8,White,Clark Middle School,Free Lunch,,12/7/2015,Excessive Absences,Friday School
S1235709,F,8,Hispanic,Clark Middle School,Free Lunch,,11/9/2015,Other,Peer Mediation
S1235709,F,8,Hispanic,Clark Middle School,Free Lunch,,12/8/2015,Classroom Disruption,SEI Consultation
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,9/4/2015,Insubordination,ISS-2 Day ICBM
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,9/10/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,9/21/2015,Excessive Tardiness,SEI Consultation
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,9/23/2015,Disruption-School Process,Work Detail
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,9/25/2015,Failure Refused Detention,ISS-1 Day ICBM
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,10/14/2015,Excessive Tardiness,Friday School
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,10/14/2015,Failure Refused Detention,Lunch Restriction
S1235715,F,7,Hispanic,Clark Middle School,Free Lunch,,12/8/2015,Excessive Tardiness,Lunch Restriction
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,9/18/2015,Excessive Tardiness,SEI Consultation
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,9/21/2015,Excessive Tardiness,ISS-1 Day ICBM
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,10/2/2015,Excessive Tardiness,OSS-One Day Out of School Suspension
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,10/15/2015,Excessive Tardiness,Friday School
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,11/23/2015,Excessive Tardiness,OSS-Five Days Out of School Suspension
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,12/14/2015,Failure Refused Detention,ISS-1 Day ICBM
S1235716,F,8,Hispanic,Clark Middle School,Free Lunch,,12/18/2015,Other,SEI Consultation
S1235718,M,8,Hispanic,Clark Middle School,Free Lunch,,8/28/2015,Classroom Disruption,SEI Consultation
S1235724,F,6,Hispanic,Clark Middle School,Free Lunch,,9/29/2015,Misbehavior,Lunch Restriction
S1235724,F,6,Hispanic,Clark Middle School,Free Lunch,,10/21/2015,Classroom Disruption,ISS-1 Day ICBM
S1235724,F,6,Hispanic,Clark Middle School,Free Lunch,,12/3/2015,Insubordination,ISS-1 Day ICBM
S1235727,M,6,Hispanic,Clark Middle School,Reduced Lunch,,9/2/2015,Excessive Tardiness,SEI Consultation
S1235727,M,6,Hispanic,Clark Middle School,Reduced Lunch,,9/24/2015,Safety Infraction,OSS-One Day Out of School Suspension
S1235727,M,6,Hispanic,Clark Middle School,Reduced Lunch,,11/10/2015,Excessive Tardiness,Lunch Restriction
S1235729,F,6,Hispanic,Clark Middle School,Free Lunch,,11/4/2015,Other,Peer Mediation
S1235731,F,6,Black,Clark Middle School,Free Lunch,Specific Learning Disability (07),12/4/2015,Classroom Disruption,Lunch Restriction
S1235731,F,6,Black,Clark Middle School,Free Lunch,Specific Learning Disability (07),12/4/2015,Misbehavior,ISS-1 Day ICBM
S1235731,F,6,Black,Clark Middle School,Free Lunch,Specific Learning Disability (07),12/4/2015,Misbehavior,ISS-1 Day ICBM
S1235732,F,7,Hispanic,Clark Middle School,Free Lunch,,11/24/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1235733,M,7,Hispanic,Clark Middle School,Reduced Lunch,,9/2/2015,Excessive Tardiness,SEI Consultation
S1235735,M,7,Hispanic,Clark Middle School,Reduced Lunch,,12/2/2015,Failure Refused Detention,Lunch Restriction
S1235737,M,6,Hispanic,Clark Middle School,Free Lunch,,9/22/2015,Classroom Disruption,Lunch Restriction
S1235737,M,6,Hispanic,Clark Middle School,Free Lunch,,10/27/2015,Classroom Disruption,Work Detail
S1235737,M,6,Hispanic,Clark Middle School,Free Lunch,,11/13/2015,Insubordination,OSS-One Day Out of School Suspension
S1235737,M,6,Hispanic,Clark Middle School,Free Lunch,,12/11/2015,Other,SEI Consultation
S1235737,M,6,Hispanic,Clark Middle School,Free Lunch,,12/16/2015,Misbehavior,Lunch Restriction
S1235737,M,6,Hispanic,Clark Middle School,Free Lunch,,12/18/2015,Insubordination,Class Suspension
S1235739,F,6,Hispanic,Clark Middle School,Free Lunch,,10/13/2015,Excessive Tardiness,Lunch Restriction
S1235739,F,6,Hispanic,Clark Middle School,Free Lunch,,11/16/2015,Excessive Tardiness,Friday School
S1235746,M,7,Hispanic,Clark Middle School,Free Lunch,,10/6/2015,Failure Refused Detention,Lunch Restriction
S1235746,M,7,Hispanic,Clark Middle School,Free Lunch,,12/16/2015,Excessive Tardiness,Lunch Restriction
S1235751,F,6,White,Clark Middle School,Free Lunch,,8/17/2015,Other,Administrative Conference
S1235751,F,6,White,Clark Middle School,Free Lunch,,9/9/2015,Misbehavior,ISS-1 Day ICBM
S1235751,F,6,White,Clark Middle School,Free Lunch,,11/4/2015,Other,Peer Mediation
S1235751,F,6,White,Clark Middle School,Free Lunch,,11/5/2015,Other,Peer Mediation
S1235753,M,8,White,Clark Middle School,Free Lunch,,8/28/2015,Misbehavior,SEI Consultation
S1235753,M,8,White,Clark Middle School,Free Lunch,,11/11/2015,Refused Class Work,Friday School
S1235753,M,8,White,Clark Middle School,Free Lunch,,11/18/2015,Failure Refused Detention,ISS-1 Day ICBM
S1235759,M,7,Hispanic,Clark Middle School,Free Lunch,,10/14/2015,Classroom Disruption,Work Detail
S1235764,F,6,White,Clark Middle School,Free Lunch,Language or Speech Impairment (09),10/7/2015,Misbehavior,Work Detail
S1235764,F,6,White,Clark Middle School,Free Lunch,Language or Speech Impairment (09),10/8/2015,Other,ISS-2 Day ICBM
S1235766,M,7,Hispanic,Clark Middle School,Paid,,10/9/2015,Excessive Tardiness,Lunch Restriction
S1235766,M,7,Hispanic,Clark Middle School,Paid,,12/3/2015,Excessive Absences,Friday School
S1235775,M,8,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),11/11/2015,Classroom Disruption,ISS-1 Day ICBM
S1235775,M,8,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),12/1/2015,Excessive Absences,Friday School
S1235775,M,8,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),12/14/2015,Truancy,ISS-1 Day ICBM
S1235775,M,8,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),12/14/2015,Truancy,ISS-1 Day ICBM
S1235778,M,7,White,Clark Middle School,Free Lunch,,10/8/2015,Physical Assault/Battery-Teach,OSS-Out Of School Suspension
S1235781,F,6,Hispanic,Clark Middle School,Free Lunch,,10/1/2015,Misbehavior,Work Detail
S1235781,F,6,Hispanic,Clark Middle School,Free Lunch,,11/5/2015,Other,Peer Mediation
S1235781,F,6,Hispanic,Clark Middle School,Free Lunch,,12/10/2015,Other,SEI Consultation
S1235785,M,7,Black,Clark Middle School,Free Lunch,,11/4/2015,Failure Refused Detention,Lunch Restriction
S1235785,M,7,Black,Clark Middle School,Free Lunch,,11/6/2015,Refused Class Work,OSS-One Day Out of School Suspension
S1235792,F,8,White,Clark Middle School,Paid,,9/3/2015,Disruption-School Process,Peer Mediation
S1235795,F,6,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),8/26/2015,Excessive Tardiness,Parent Conference
S1235799,F,6,Hispanic,Clark Middle School,Free Lunch,,10/26/2015,Excessive Tardiness,Lunch Restriction
S1235800,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),8/20/2015,Misbehavior,Lunch Restriction
S1235800,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),9/3/2015,Misbehavior,Administrative Conference
S1235800,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),9/17/2015,Misbehavior,ISS-1 Day ICBM
S1235800,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),12/1/2015,Truancy,Friday School
S1235801,M,6,White,Clark Middle School,Free Lunch,,10/16/2015,Theft School/Private Property,OSS-Five Days Out of School Suspension
S1235806,F,6,Hispanic,Clark Middle School,Free Lunch,,12/16/2015,Excessive Tardiness,Lunch Restriction
S1235817,F,7,Hispanic,Clark Middle School,Free Lunch,,10/21/2015,Misbehavior,Work Detail
S1235844,F,8,Hispanic,Clark Middle School,Free Lunch,,11/30/2015,Other,Administrative Conference
S1235844,F,8,Hispanic,Clark Middle School,Free Lunch,,12/10/2015,Disruption-School Process,ISS-2 Day ICBM
S1235847,F,6,Hispanic,Clark Middle School,Free Lunch,,12/3/2015,Truancy,Work Detail
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,8/27/2015,Gross Insubordination,OSS-One Day Out of School Suspension
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,9/23/2015,Misbehavior,Lunch Restriction
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,10/14/2015,Rule Violation,Work Detail
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,11/6/2015,Misbehavior,Administrative Conference
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,11/13/2015,Classroom Disruption,ISS-1 Day ICBM
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,11/19/2015,Misbehavior,Lunch Restriction
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,11/23/2015,Classroom Disruption,ISS-1 Day ICBM
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,11/23/2015,Failure Refused Detention,ISS-1 Day ICBM
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,12/1/2015,Rule Violation,Work Detail
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,12/7/2015,Misbehavior,Lunch Restriction
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,12/8/2015,Theft School/Private Property,OSS-Two Days Out of School Suspension
S1235855,M,6,Hispanic,Clark Middle School,Free Lunch,,12/16/2015,Rule Violation,Lunch Restriction
S1235860,F,7,Hispanic,Clark Middle School,Paid,Specific Learning Disability (07),11/24/2015,Disruption-School Process,OSS-Three Days Out of School Suspension
S1235881,M,6,Hispanic,Clark Middle School,Free Lunch,,9/8/2015,Misbehavior,ISS-3 Day ICBM
S1235881,M,6,Hispanic,Clark Middle School,Free Lunch,,9/23/2015,Misbehavior,Lunch Restriction
S1235881,M,6,Hispanic,Clark Middle School,Free Lunch,,10/14/2015,Insubordination,ISS-1 Day ICBM
S1235881,M,6,Hispanic,Clark Middle School,Free Lunch,,10/16/2015,Theft School/Private Property,OSS-Five Days Out of School Suspension
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),8/18/2015,Problem-Bus Behavior,Administrative Conference
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/17/2015,Classroom Disruption,ISS-1 Day ICBM
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/22/2015,Other,Administrative Leave
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Classroom Disruption,Administrative Conference
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Classroom Disruption,Class Suspension
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Insubordination,Administrative Conference
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Insubordination,Class Suspension
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/14/2015,Other,OSS-Two Days Out of School Suspension
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/22/2015,Classroom Disruption,OSS-One Day Out of School Suspension
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),11/4/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1235886,M,7,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),11/11/2015,Fighting,OSS-Three Days Out of School Suspension
S1235921,M,6,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/18/2015,Insubordination,ISS-Half Day ICBM
S1235921,M,6,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/25/2015,Misbehavior,ISS-1 Day ICBM
S1235921,M,6,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/14/2015,Rule Violation,Friday School
S1235921,M,6,Hispanic,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),11/11/2015,Fighting,OSS-One Day Out of School Suspension
S1236086,M,8,White,Clark Middle School,Free Lunch,,9/28/2015,Excessive Tardiness,Lunch Restriction
S1236095,M,8,Black,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),8/25/2015,Insubordination,ISS-1 Day ICBM
S1236095,M,8,Black,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/14/2015,Classroom Disruption,Ripple Effects Module
S1236095,M,8,Black,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1236095,M,8,Black,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Inappropriate Language,ISS-1 Day ICBM
S1236095,M,8,Black,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),12/14/2015,Insubordination,Administrative Conference
S1236095,M,8,Black,Clark Middle School,Free Lunch,Emotional Disability (Full Time) (05),12/14/2015,Insubordination,Class Suspension
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),8/27/2015,Misbehavior,Administrative Conference
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),9/9/2015,Insubordination,Administrative Conference
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),9/23/2015,Insubordination,ISS-1 Day ICBM
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),10/15/2015,Classroom Disruption,ISS-1 Day ICBM
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),10/27/2015,Classroom Disruption,OSS-One Day Out of School Suspension
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),11/3/2015,Disruption-School Process,OSS-Two Days Out of School Suspension
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),12/8/2015,Classroom Disruption,ISS-1 Day ICBM
S1236103,M,6,White,Clark Middle School,Free Lunch,Other Health Impairment (17),12/14/2015,Misbehavior,Lunch Restriction
S1236134,F,7,White,Clark Middle School,Reduced Lunch,,8/14/2015,Bullying - Verbal,Ripple Effects Module
S1236134,F,7,White,Clark Middle School,Reduced Lunch,,11/5/2015,Truancy,Lunch Restriction
S1236134,F,7,White,Clark Middle School,Reduced Lunch,,11/9/2015,Failure Refused Detention,Lunch Restriction
S1236134,F,7,White,Clark Middle School,Reduced Lunch,,11/16/2015,Failure Refused Detention,Lunch Restriction
S1236134,F,7,White,Clark Middle School,Reduced Lunch,,11/17/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236134,F,7,White,Clark Middle School,Reduced Lunch,,11/17/2015,Misbehavior,ISS-1 Day ICBM
S1236195,M,7,Black,Clark Middle School,Free Lunch,,9/9/2015,Inappropriate Language,Work Detail
S1236195,M,7,Black,Clark Middle School,Free Lunch,,9/18/2015,Inappropriate Language,ISS-1 Day ICBM
S1236195,M,7,Black,Clark Middle School,Free Lunch,,9/25/2015,Excessive Tardiness,Lunch Restriction
S1236195,M,7,Black,Clark Middle School,Free Lunch,,10/9/2015,Insubordination,Work Detail
S1236195,M,7,Black,Clark Middle School,Free Lunch,,10/12/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236195,M,7,Black,Clark Middle School,Free Lunch,,10/14/2015,Failure Refused Detention,OSS-One Day Out of School Suspension
S1236195,M,7,Black,Clark Middle School,Free Lunch,,10/16/2015,Excessive Tardiness,ISS-2 Day ICBM
S1236195,M,7,Black,Clark Middle School,Free Lunch,,10/16/2015,Inappropriate Language,OSS-One Day Out of School Suspension
S1236195,M,7,Black,Clark Middle School,Free Lunch,,10/16/2015,Insubordination,OSS-One Day Out of School Suspension
S1236195,M,7,Black,Clark Middle School,Free Lunch,,11/3/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1236195,M,7,Black,Clark Middle School,Free Lunch,,11/18/2015,Excessive Tardiness,Friday School
S1236195,M,7,Black,Clark Middle School,Free Lunch,,11/24/2015,Misbehavior,Work Detail
S1236195,M,7,Black,Clark Middle School,Free Lunch,,12/3/2015,Bullying - Verbal,OSS-Three Days Out of School Suspension
S1236195,M,7,Black,Clark Middle School,Free Lunch,,12/3/2015,Insubordination,OSS-Two Days Out of School Suspension
S1236205,M,8,Hispanic,Clark Middle School,Free Lunch,,12/1/2015,Excessive Absences,Lunch Restriction
S1236217,F,6,Hispanic,Clark Middle School,Paid,,9/14/2015,Other,Administrative Conference
S1236279,F,6,Multiracial,Clark Middle School,Paid,,11/20/2015,Other,Peer Mediation
S1236279,F,6,Multiracial,Clark Middle School,Paid,,12/3/2015,Truancy,Work Detail
S1236279,F,6,Multiracial,Clark Middle School,Paid,,12/8/2015,Excessive Tardiness,Lunch Restriction
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,9/4/2015,Excessive Tardiness,SEI Consultation
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,9/18/2015,Misbehavior,SEI Consultation
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,10/7/2015,Refused Class Work,Administrative Conference
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,10/9/2015,Refused Class Work,ISS-2 Day ICBM
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,10/15/2015,Inappropriate Language,Administrative Conference
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,10/16/2015,Other,OSS-Five Days Out of School Suspension
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,11/9/2015,Classroom Disruption,Class Suspension
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,11/10/2015,Excessive Tardiness,Friday School
S1236301,F,8,Hispanic,Clark Middle School,Free Lunch,,11/18/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,9/10/2015,Classroom Disruption,ISS-1 Day ICBM
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,9/10/2015,Insubordination,ISS-1 Day ICBM
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,9/11/2015,Gross Insubordination,OSS-One Day Out of School Suspension
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,9/17/2015,Other,Administrative Conference
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,9/24/2015,Insubordination,OSS-One Day Out of School Suspension
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,10/2/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,10/9/2015,Refused Class Work,ISS-2 Day ICBM
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,10/16/2015,Classroom Disruption,OSS-One Day Out of School Suspension
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,10/20/2015,Insubordination,ISS-1 Day ICBM
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,10/20/2015,Insubordination,OSS-One Day Out of School Suspension
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,11/6/2015,Leaving Without Permission,OSS-Five Days Out of School Suspension
S1236593,M,8,Hispanic,Clark Middle School,Free Lunch,,12/10/2015,Truancy,OSS-Five Days Out of School Suspension
S1236596,F,8,Hispanic,Clark Middle School,Free Lunch,,8/27/2015,Excessive Tardiness,SEI Consultation
S1236596,F,8,Hispanic,Clark Middle School,Free Lunch,,11/3/2015,Excessive Tardiness,Lunch Restriction
S1236596,F,8,Hispanic,Clark Middle School,Free Lunch,,12/1/2015,Excessive Tardiness,Lunch Restriction
S1236596,F,8,Hispanic,Clark Middle School,Free Lunch,,12/2/2015,Failure To Report,ISS-1 Day ICBM
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,9/4/2015,Excessive Tardiness,SEI Consultation
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,9/18/2015,Excessive Tardiness,ISS-1 Day ICBM
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,10/8/2015,Excessive Tardiness,Friday School
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,10/8/2015,Excessive Tardiness,Lunch Restriction
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,11/17/2015,Excessive Tardiness,ISS-2 Day ICBM
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,12/3/2015,Excessive Tardiness,Friday School
S1236612,F,7,Hispanic,Clark Middle School,Free Lunch,,12/10/2015,Inappropriate Use Of Internet,ISS-1 Day ICBM
S1236617,M,7,White,Clark Middle School,Free Lunch,,8/14/2015,Bullying - Verbal,Ripple Effects Module
S1236617,M,7,White,Clark Middle School,Free Lunch,,9/17/2015,Misbehavior,OSS-Two Days Out of School Suspension
S1236617,M,7,White,Clark Middle School,Free Lunch,,9/22/2015,Fighting,OSS-Three Days Out of School Suspension
S1236617,M,7,White,Clark Middle School,Free Lunch,,10/1/2015,Misbehavior,Work Detail
S1236617,M,7,White,Clark Middle School,Free Lunch,,10/6/2015,Safety Infraction,Bus Suspension
S1236617,M,7,White,Clark Middle School,Free Lunch,,10/14/2015,Classroom Disruption,Work Detail
S1236617,M,7,White,Clark Middle School,Free Lunch,,10/15/2015,Disruption-School Process,ISS-2 Day ICBM
S1236617,M,7,White,Clark Middle School,Free Lunch,,10/20/2015,Misbehavior,Work Detail
S1236617,M,7,White,Clark Middle School,Free Lunch,,10/23/2015,Gross Insubordination,ISS-2 Day ICBM
S1236617,M,7,White,Clark Middle School,Free Lunch,,11/6/2015,Classroom Disruption,ISS-1 Day ICBM
S1236617,M,7,White,Clark Middle School,Free Lunch,,11/16/2015,Failure Refused Detention,Lunch Restriction
S1236617,M,7,White,Clark Middle School,Free Lunch,,11/17/2015,Classroom Disruption,Administrative Conference
S1236617,M,7,White,Clark Middle School,Free Lunch,,11/24/2015,Other,Peer Mediation
S1236617,M,7,White,Clark Middle School,Free Lunch,,11/30/2015,Classroom Disruption,Work Detail
S1236617,M,7,White,Clark Middle School,Free Lunch,,12/1/2015,Misbehavior,ISS-2 Day ICBM
S1236617,M,7,White,Clark Middle School,Free Lunch,,12/7/2015,Misbehavior,Lunch Restriction
S1236617,M,7,White,Clark Middle School,Free Lunch,,12/8/2015,Classroom Disruption,ISS-2 Day ICBM
S1236617,M,7,White,Clark Middle School,Free Lunch,,12/15/2015,Disruption-School Process,OSS-Out Of School Suspension
S1236628,M,8,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),9/24/2015,Misbehavior,Lunch Restriction
S1236650,F,8,Hispanic,Clark Middle School,Reduced Lunch,,11/16/2015,Excessive Absences,Friday School
S1236650,F,8,Hispanic,Clark Middle School,Reduced Lunch,,11/23/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236650,F,8,Hispanic,Clark Middle School,Reduced Lunch,,11/23/2015,Fighting,OSS-Out Of School Suspension
S1236657,M,8,Hispanic,Clark Middle School,Free Lunch,,10/5/2015,Classroom Disruption,Work Detail
S1236657,M,8,Hispanic,Clark Middle School,Free Lunch,,10/28/2015,Misbehavior,Lunch Restriction
S1236657,M,8,Hispanic,Clark Middle School,Free Lunch,,11/11/2015,Refused Class Work,Lunch Restriction
S1236658,M,7,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),10/23/2015,Misbehavior,ISS-1 Day ICBM
S1236658,M,7,Hispanic,Clark Middle School,Free Lunch,Specific Learning Disability (07),10/23/2015,Misbehavior,Work Detail
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,8/18/2015,Other,Lunch Restriction
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,9/11/2015,Classroom Disruption,SEI Consultation
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,9/22/2015,Excessive Tardiness,ISS-1 Day ICBM
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,10/14/2015,Disruption-School Process,OSS-Two Days Out of School Suspension
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,10/26/2015,Classroom Disruption,Class Suspension
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,11/11/2015,Refused Class Work,ISS-2 Day ICBM
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,11/24/2015,Truancy,Work Detail
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,11/30/2015,Excessive Tardiness,OSS-One Day Out of School Suspension
S1236659,M,8,Hispanic,Clark Middle School,Free Lunch,,12/15/2015,Insubordination,Friday School
S1236676,M,8,Hispanic,Clark Middle School,Free Lunch,,12/10/2015,Insubordination,ISS-1 Day ICBM
S1236682,M,8,Hispanic,Clark Middle School,Free Lunch,,10/5/2015,Rule Violation,Work Detail
S1236682,M,8,Hispanic,Clark Middle School,Free Lunch,,11/11/2015,Cell Phone,Friday School
S1236682,M,8,Hispanic,Clark Middle School,Free Lunch,,11/19/2015,Other,Peer Mediation
S1236684,M,8,Hispanic,Clark Middle School,Free Lunch,,8/27/2015,Misbehavior,Work Detail
S1236684,M,8,Hispanic,Clark Middle School,Free Lunch,,9/1/2015,Classroom Disruption,Lunch Restriction
S1236684,M,8,Hispanic,Clark Middle School,Free Lunch,,11/9/2015,Classroom Disruption,ISS-1 Day ICBM
S1236684,M,8,Hispanic,Clark Middle School,Free Lunch,,12/8/2015,Excessive Absences,Lunch Restriction
S1236685,F,8,Hispanic,Clark Middle School,Free Lunch,,10/26/2015,Excessive Tardiness,ISS-1 Day ICBM
S1236685,F,8,Hispanic,Clark Middle School,Free Lunch,,12/14/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,9/16/2015,Excessive Tardiness,SEI Consultation
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,11/10/2015,Excessive Tardiness,Friday School
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,11/16/2015,Excessive Tardiness,ISS-1 Day ICBM
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,11/16/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,11/19/2015,Failure Refused Detention,ISS-1 Day ICBM
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,12/14/2015,Failure Refused Detention,ISS-2 Day ICBM
S1236687,M,8,Hispanic,Clark Middle School,Free Lunch,,12/17/2015,Excessive Tardiness,ISS-1 Day ICBM
S1236690,F,8,Hispanic,Clark Middle School,Free Lunch,,11/12/2015,Other,Peer Mediation
S1236690,F,8,Hispanic,Clark Middle School,Free Lunch,,12/9/2015,Classroom Disruption,SEI Consultation
S1236693,M,7,Hispanic,Clark Middle School,Paid,,9/16/2015,Excessive Tardiness,SEI Consultation
S1236693,M,7,Hispanic,Clark Middle School,Paid,,11/10/2015,Excessive Tardiness,Friday School
S1236695,F,8,Hispanic,Clark Middle School,Free Lunch,,9/4/2015,Excessive Tardiness,SEI Consultation
